003658.3 +535349 +0.019 -0.009  3.66
003652.9 +334310 +0.015 -0.004  4.36
003647.3 +151354 +0.002 -0.015  5.89
003707.2 +240051 -0.014 -0.044  6.47
003721.1 +352358 -0.016 -0.005  5.48
003947.3 +822938 -0.111 +0.078  6.40
003720.7 -244602 +1.390 -0.012  5.57
003637.4 -650729 +0.029 -0.020  6.42
003730.5 +030807 +0.095 -0.061  6.39
003718.1 -542339 +0.056 -0.021  6.41
003833.3 +291842 -0.227 -0.254  4.37
003909.9 +492116 +0.008 -0.011  5.43
003919.7 +305139 +0.136 -0.091  3.27
003921.8 +211502 -0.464 -0.370  5.87
003955.6 +212618 +0.028 -0.035  5.36
004030.5 +563214 +0.053 -0.032  2.23 SHEDIR
003840.8 -730814 -0.017 +0.020  6.85
003957.9 -335742 +0.333 -0.116  6.69
003952.0 -444748 +0.045  0.000  6.01
004028.6 -163101 +0.037 -0.040  6.49
004032.9 -234816 +0.644 -0.333  6.14
004042.4 -042107 -0.013 -0.013  5.91
004107.2 +392731 -0.010 -0.007  5.33
004026.4 -592716 +0.889 +0.448  5.89
004203.4 +660851 -0.013 -0.009  5.83
004136.0 +243745 +0.107 -0.016  6.04
004203.9 +503045 +0.015 -0.005  4.80
004119.6 -460506 -0.014 -0.002  4.59
004231.1 +584512 +0.036 -0.007  6.17

004146.4 -563006 +0.085 +0.044  5.70
004328.1 +470129 -0.020 -0.034  4.94
004242.9 -382748 +0.003 -0.005  6.06
004241.8 -601545 +0.255 -0.045  5.98
004228.4 -652805 +0.053 +0.042  5.39
004335.4 -175912 +0.234 +0.033  2.04 DIPHDA
004426.4 +475151 -0.026 +0.015  5.67
004350.2 -120042 +0.007 -0.204  6.02
004321.2 -572747 -0.006 +0.011  4.36
004539.0 +745917 -0.018 -0.026  5.66
004443.5 +481704 +0.019 -0.008  4.54
004411.4 -103634 -0.009 -0.113  4.76
004412.1 -382518 +0.244 +0.113  5.90
004517.2 +551318 -0.025 +0.002  5.42
004444.4 -220022 -0.066 +0.083  5.24
004457.1 -424036 -0.086 -0.102  5.94
004432.3 -622952 +0.143 -0.005  6.07
004639.0 +691930 +0.196 +0.001  6.33
004524.1 -043745 +0.028 +0.033  6.15
004500.0 -534254 +0.230  0.000  6.15
004528.7 -125251 -0.034 -0.201  6.15
004615.1 +551819 +0.015 -0.012  6.52
004610.9 +445141 +0.028 -0.009  6.05
004541.7 -162527 +0.014 -0.005  6.47
004642.4 +593428 -0.008 -0.001  6.39
004746.1 +745051 +0.015 -0.009  5.41
004545.6 -473306 +0.184 +0.086  5.80
004611.8 -223119 +0.201 -0.006  5.50
004633.0 +152832 -0.027 -0.044  5.38
004809.1 +724030 +0.130 +0.024  5.87
004701.5 +115826 +0.058 -0.036  5.50
004713.6 +193444 +0.104 +0.011  6.13
004720.3 +241602 -0.100 -0.083  4.06
004723.6 +064427 +0.014 -0.015  5.99
004754.8 +205531 +0.157 +0.006  6.54
004743.3 -180341 +0.043 +0.031  5.70
004906.0 +574857 +1.100 -0.529  3.44 Achird
004801.1 -214321 +0.028 -0.011  5.57
004817.4 +071800 +0.111 +0.004  5.93
004823.0 +051650 +0.758 -1.146  5.75
004850.1 +505806 +0.035 -0.006  4.89
004841.0 +073506 +0.085 -0.052  4.43
004858.7 +165626 -0.003 -0.204  5.07
004948.8 +410444 +0.023 -0.019  4.53
004925.6 -133341 +0.105 -0.104  5.59
004913.9 -240811 +0.078 -0.051  5.90
004856.7 -464152 -0.008 +0.017  6.27
004952.8 +274239 +0.084 -0.010  7.00
004953.2 +274237 +0.091 -0.009  7.10
004933.4 -232142 -0.008  0.000  6.28
005043.6 +641451 +0.030 -0.012  5.39
005018.3 +450008 +0.065 +0.006  6.15
005007.6 -103840 -0.226 -0.229  5.19
004835.4 -745524 +0.130 -0.033  5.07
005116.4 +614821 -0.002 +0.006  6.07
005057.4 +513029 +0.135 -0.003  6.39
005003.7 -432341 +0.011 +0.016  6.48
005453.1 +834226 +0.062 -0.022  5.62
005133.7 +513416 -0.010 -0.019  6.21
005041.2 -505913 +0.067 +0.039  5.22
005118.3 +032306 +0.016 -0.067  6.37
005304.1 +610727 -0.071 +0.172  4.82
005152.1 -434233 +0.025 -0.013  6.90
005253.4 +383255 +0.029 -0.021  6.69
005240.6 -240021 +0.035 +0.035  5.46
005300.5 -010839 +0.008 -0.017  4.77
005328.2 +372505 +0.013 -0.046  6.06
005347.6 +524121 +0.076 -0.026  6.27
005312.4 -244637 +0.098 +0.037  6.46
005224.3 -693016 -0.007 -0.086  6.22
005500.1 +585822 -0.032 -0.043  4.83
